,2014년,2015년,2016년,2017년,2018년,2019년,2020년
종로구,210,150,1,261,85,9,200
중구,77,236,240,372,386,155,361
용산구,125,221,298,351,125,307,617
성동구,105,339,310,874,390,262,461
광진구,187,98,52,675,465,712,175
동대문구,29,111,233,136,197,209,223
중랑구,88,141,161,162,173,1049,939
성북구,230,323,594,460,867,714,251
강북구,65,105,243,6,392,1000,588
도봉구,181,79,159,134,222,198,168
노원구,77,516,331,175,216,320,386
은평구,332,329,555,403,635,1057,288
서대문구,108,137,223,356,237,343,397
마포구,61,162,454,359,343,494,300
양천구,143,180,350,139,140,274,325
강서구,213,188,168,506,259,457,356
구로구,187,268,326,540,488,434,415
금천구,80,361,133,196,540,369,508
영등포구,123,209,248,311,658,65,"1,213"
동작구,503,128,253,271,300,322,419
관악구,513,529,621,687,663,640,331
서초구,71,563,516,1060,428,358,420
강남구,597,840,1310,999,748,789,942
송파구,85,215,148,241,542,1068,235
강동구,49,154,202,273,377,356,614
