,자치구,안전비상벨설치년도
0,양천구,2006
1,강서구,2013
2,강서구,2015
3,강서구,2016
4,강서구,2013
5,강서구,2013
6,강서구,2013
7,강서구,2015
8,강서구,2015
9,강서구,2015
10,강서구,2014
11,강서구,2016
12,강서구,2013
13,강서구,2013
14,강서구,2013
15,강서구,2013
16,강서구,2013
17,강서구,2015
18,강서구,2015
19,강서구,2016
20,강서구,2013
21,강서구,2013
22,강서구,2016
23,강서구,2013
86,강동구,2018
87,강동구,2018
88,강동구,2017
89,강동구,2017
90,강동구,2017
91,강동구,2017
92,강동구,2017
93,강동구,2019
94,강동구,2017
95,강동구,2017
96,강동구,2016
97,강동구,2016
98,강동구,2016
99,강동구,2015
100,강동구,2017
101,강동구,2017
102,강동구,2017
103,강동구,2018
104,강동구,2019
105,강동구,2016
106,강동구,2017
107,강동구,2017
108,강동구,2017
109,강동구,2017
110,강동구,2017
112,강동구,2017
113,강동구,2017
114,강동구,2017
115,강동구,2018
116,강동구,2018
117,강동구,2018
118,강동구,2018
119,강동구,2018
120,강동구,2018
121,강동구,2018
122,강동구,2019
123,강동구,2019
124,강동구,2019
125,강동구,2019
126,강동구,2019
127,강동구,2017
128,강동구,2016
129,강동구,2017
130,강동구,2016
131,강동구,2016
132,강동구,2016
133,강동구,2016
135,강동구,2017
136,강동구,2017
137,강동구,2017
138,금천구,2017
158,강동구,2016
159,강동구,2016
160,강동구,2017
161,강동구,2017
162,강동구,2017
163,강동구,2017
164,강동구,2017
165,강동구,2017
166,강동구,2017
195,강동구,2014
196,종로구,2016
197,종로구,2016
198,종로구,2018
209,송파구,2020
210,송파구,2020
211,송파구,2020
212,송파구,2020
213,송파구,2020
214,송파구,2020
215,송파구,2020
216,송파구,2020
217,송파구,2020
218,송파구,2020
219,송파구,2020
220,송파구,2020
221,송파구,2020
222,송파구,2020
223,송파구,2020
248,종로구,2018
249,종로구,2018
250,종로구,2016
292,종로구,2013
293,종로구,2013
294,종로구,2016
295,종로구,2016
296,종로구,2018
297,종로구,2018
298,종로구,2016
299,종로구,2018
300,종로구,2016
301,종로구,2018
302,종로구,2018
303,종로구,2018
304,종로구,2018
305,종로구,2018
306,종로구,2018
307,종로구,2018
308,종로구,2018
309,종로구,2016
423,용산구,2016
424,용산구,2016
425,용산구,2016
426,용산구,2013
427,용산구,2015
428,용산구,2013
429,용산구,2016
430,용산구,2014
431,용산구,2015
432,용산구,2017
433,용산구,2017
434,용산구,2010
435,용산구,2010
436,용산구,2010
437,용산구,2010
438,용산구,2010
439,용산구,2010
440,용산구,2010
441,용산구,2010
442,용산구,2010
443,용산구,2011
444,구로구,2011
445,구로구,2011
446,구로구,2011
447,구로구,2011
448,구로구,2011
449,구로구,2011
450,구로구,2012
452,용산구,2013
453,구로구,2009
454,구로구,2009
455,구로구,2011
456,구로구,2011
457,구로구,2011
458,구로구,2011
459,구로구,2011
460,구로구,2011
461,구로구,2011
462,구로구,2011
463,구로구,2011
464,구로구,2011
465,구로구,2011
466,구로구,2011
467,구로구,2011
468,구로구,2011
469,구로구,2011
470,구로구,2011
471,구로구,2011
472,구로구,2011
473,구로구,2011
474,구로구,2011
475,구로구,2011
476,구로구,2011
477,구로구,2011
478,구로구,2011
479,구로구,2011
480,구로구,2011
920,구로구,2015
921,구로구,2015
922,구로구,2015
923,구로구,2015
924,구로구,2015
925,구로구,2015
926,구로구,2015
927,구로구,2015
928,구로구,2015
929,구로구,2015
930,구로구,2015
931,구로구,2016
932,구로구,2016
933,구로구,2016
934,구로구,2016
1311,송파구,2020
1312,송파구,2020
1313,송파구,2020
1314,송파구,2020
1315,송파구,2020
1316,송파구,2020
1317,송파구,2020
1318,송파구,2020
1319,송파구,2020
1320,송파구,2020
1342,도봉구,2018
1676,송파구,2020
1677,송파구,2020
1678,송파구,2020
1679,송파구,2020
1680,송파구,2020
1681,송파구,2020
1682,송파구,2020
1683,송파구,2020
1684,송파구,2020
1685,송파구,2020
1707,송파구,2020
1708,송파구,2020
1709,송파구,2020
1710,송파구,2020
1711,송파구,2020
1712,송파구,2020
1713,송파구,2020
1714,송파구,2020
1715,송파구,2020
1716,송파구,2020
1717,송파구,2020
1718,송파구,2020
1719,송파구,2020
1720,송파구,2020
1721,송파구,2020
1722,송파구,2020
1723,송파구,2020
1724,송파구,2020
1725,송파구,2020
1726,송파구,2020
1727,송파구,2020
1728,송파구,2020
1729,송파구,2020
1730,송파구,2020
1731,송파구,2020
1732,송파구,2020
1733,송파구,2020
1734,송파구,2020
1735,송파구,2020
1737,송파구,2020
1738,송파구,2020
1739,송파구,2020
1740,송파구,2020
1741,송파구,2020
1742,송파구,2020
1743,송파구,2020
1744,송파구,2020
1745,송파구,2020
1746,송파구,2020
1747,송파구,2020
1748,송파구,2020
1749,송파구,2020
1750,송파구,2020
1751,송파구,2020
1752,송파구,2020
1753,송파구,2020
1754,송파구,2020
1755,송파구,2020
1756,송파구,2020
1757,송파구,2020
1758,송파구,2020
1759,송파구,2020
1760,송파구,2020
1761,송파구,2020
1762,송파구,2020
1763,송파구,2020
1764,송파구,2020
1765,송파구,2020
1766,송파구,2020
1767,송파구,2020
1768,송파구,2020
1769,송파구,2020
1770,송파구,2020
1771,송파구,2020
1772,송파구,2020
1773,송파구,2020
1774,송파구,2020
1775,송파구,2020
1776,송파구,2020
1777,송파구,2020
1778,송파구,2020
1779,송파구,2020
1780,송파구,2020
1781,송파구,2020
1782,송파구,2020
1783,송파구,2020
1784,송파구,2020
1785,송파구,2020
1786,송파구,2020
1787,송파구,2020
1788,송파구,2020
1789,송파구,2020
1790,송파구,2020
1791,송파구,2020
1792,송파구,2020
1793,송파구,2020
1794,송파구,2020
1795,송파구,2020
1796,송파구,2020
1797,송파구,2020
1798,송파구,2020
1799,송파구,2020
1800,송파구,2020
1801,송파구,2020
1802,송파구,2020
1803,송파구,2020
1805,송파구,2020
1806,송파구,2020
1807,송파구,2020
1808,송파구,2020
1809,송파구,2020
1810,송파구,2020
1811,송파구,2020
1812,송파구,2020
1813,송파구,2020
1814,송파구,2020
1815,송파구,2020
1816,송파구,2020
1817,송파구,2020
1818,송파구,2020
1819,송파구,2020
1820,송파구,2020
1821,송파구,2020
1822,송파구,2020
1823,송파구,2020
1824,송파구,2020
1825,송파구,2020
1826,송파구,2020
1827,송파구,2020
1828,송파구,2020
1829,송파구,2020
1830,송파구,2020
1831,송파구,2020
1832,송파구,2020
1833,송파구,2020
1834,송파구,2020
1835,송파구,2020
1836,송파구,2020
1837,송파구,2020
1838,송파구,2020
1839,송파구,2020
1841,송파구,2020
1842,송파구,2020
1843,송파구,2020
1844,송파구,2020
1845,송파구,2020
1846,송파구,2020
1847,송파구,2020
1848,송파구,2020
1849,송파구,2020
1850,송파구,2020
1851,송파구,2020
1852,송파구,2020
1853,송파구,2020
1854,송파구,2020
1855,송파구,2020
1856,송파구,2020
1857,송파구,2020
1858,송파구,2020
1859,송파구,2020
1860,송파구,2020
1861,송파구,2020
1862,송파구,2020
1863,송파구,2020
1864,송파구,2020
1865,송파구,2020
1866,송파구,2020
1867,송파구,2020
1868,송파구,2020
1869,송파구,2020
1870,송파구,2020
1871,송파구,2020
1872,송파구,2020
1873,송파구,2020
1874,송파구,2020
1875,송파구,2020
1877,송파구,2020
1878,송파구,2020
1879,송파구,2020
1880,송파구,2020
1881,송파구,2020
1882,송파구,2020
1883,송파구,2020
1884,송파구,2020
1885,송파구,2020
1886,송파구,2020
1887,송파구,2020
1888,송파구,2020
2379,동대문,2016
2380,동대문,2016
2381,동대문,2016
2382,동대문,2016
2383,동대문,2016
2384,동대문,2016
2385,동대문,2016
2386,동대문,2016
2387,동대문,2016
2388,동대문,2016
2389,동대문,2016
2390,동대문,2016
2391,동대문,2016
2392,동대문,2016
2393,동대문,2016
2394,동대문,2016
2395,동대문,2016
2396,동대문,2016
2397,동대문,2016
2398,동대문,2016
2399,동대문,2016
2400,동대문,2017
2418,동대문,2017
2419,동대문,2017
2420,동대문,2017
2421,동대문,2017
2422,동대문,2017
2423,동대문,2017
2424,동대문,2017
2425,동대문,2017
2426,동대문,2017
2427,동대문,2017
2428,동대문,2016
2429,동대문,2016
2430,동대문,2016
2431,동대문,2016
2432,동대문,2016
2433,동대문,2016
2786,은평구,2010
2787,은평구,2010
2788,은평구,2010
2789,은평구,2010
2790,은평구,2010
2791,은평구,2010
2792,은평구,2010
2793,은평구,2010
2794,은평구,2010
2795,은평구,2010
2796,은평구,2010
2797,은평구,2010
2798,은평구,2010
2799,은평구,2010
2800,은평구,2010
2801,은평구,2010
2802,은평구,2010
2803,은평구,2010
2804,은평구,2010
2805,은평구,2010
2806,은평구,2010
2807,은평구,2010
2808,은평구,2010
2809,은평구,2010
2810,은평구,2010
2811,은평구,2010
2812,은평구,2012
2814,은평구,2010
2815,은평구,2010
2816,은평구,2010
2817,은평구,2010
2818,은평구,2010
2819,은평구,2010
2820,은평구,2010
2821,은평구,2010
2822,은평구,2010
2823,은평구,2010
2824,은평구,2010
2825,은평구,2010
2826,은평구,2010
2827,은평구,2010
2828,은평구,2010
2829,은평구,2010
2830,은평구,2010
2831,은평구,2010
2832,은평구,2010
2833,은평구,2010
2834,은평구,2010
2835,은평구,2010
2836,은평구,2010
2837,은평구,2010
2838,은평구,2010
2839,은평구,2010
2840,은평구,2010
2841,은평구,2010
2842,은평구,2010
2843,은평구,2010
2844,은평구,2010
2845,은평구,2010
