사고장소,사고 발생 횟수
서울특별시 강남구 개포동 개포로,2
서울특별시 강남구 개포동 개포로22길,1
서울특별시 강남구 개포동 논현로,2
서울특별시 강남구 개포동 논현로10길,1
서울특별시 강남구 개포동 논현로16길,1
서울특별시 강남구 개포동 선릉로,2
서울특별시 강남구 개포동 양재대로,4
서울특별시 강남구 개포동 언주로,2
서울특별시 강남구 논현동 강남대로,3
서울특별시 강남구 논현동 논현로,4
서울특별시 강남구 논현동 논현로145길,1
서울특별시 강남구 논현동 도산대로,4
서울특별시 강남구 논현동 도산대로24길,1
서울특별시 강남구 논현동 도산대로50길,1
서울특별시 강남구 논현동 봉은사로,8
서울특별시 강남구 논현동 봉은사로7길,1
서울특별시 강남구 논현동 선릉로,2
서울특별시 강남구 논현동 신반포로,1
서울특별시 강남구 논현동 압구정로,1
서울특별시 강남구 논현동 언주로,3
서울특별시 강남구 논현동 언주로114길,1
서울특별시 강남구 논현동 언주로126길,1
서울특별시 강남구 논현동 학동로,3
서울특별시 강남구 논현동 학동로20길,1
서울특별시 강남구 논현동 학동로6길,1
서울특별시 강남구 대치동 남부순환로,7
서울특별시 강남구 대치동 도곡로,2
서울특별시 강남구 대치동 분당수서로,2
서울특별시 강남구 대치동 삼성로,6
서울특별시 강남구 대치동 삼성로71길,1
서울특별시 강남구 대치동 삼성로75길,1
서울특별시 강남구 대치동 삼전로,2
서울특별시 강남구 대치동 선릉로,3
서울특별시 강남구 대치동 선릉로86길,2
서울특별시 강남구 대치동 양재천로,1
서울특별시 강남구 대치동 역삼로,2
서울특별시 강남구 대치동 영동대로,2
서울특별시 강남구 대치동 테헤란로,3
서울특별시 강남구 대치동 테헤란로104길,1
서울특별시 강남구 대치동 테헤란로78길,1
서울특별시 강남구 대치동 테헤란로87길,1
서울특별시 강남구 대치동 테헤란로88길,1
서울특별시 강남구 도곡동 남부순환로,8
서울특별시 강남구 도곡동 남부순환로363길,1
서울특별시 강남구 도곡동 남부순환로365길,1
서울특별시 강남구 도곡동 논현로,4
서울특별시 강남구 도곡동 도곡로,2
서울특별시 강남구 도곡동 선릉로,1
서울특별시 강남구 도곡동 언주로,4
서울특별시 강남구 도곡동 언주로30길,3
서울특별시 강남구 삼성동 봉은사로,8
서울특별시 강남구 삼성동 봉은사로86길,2
서울특별시 강남구 삼성동 삼성로,2
서울특별시 강남구 삼성동 삼성로96길,1
서울특별시 강남구 삼성동 선릉로,1
서울특별시 강남구 삼성동 선릉로126길,1
서울특별시 강남구 삼성동 영동대로,1
서울특별시 강남구 삼성동 테헤란로,3
서울특별시 강남구 삼성동 테헤란로69길,1
서울특별시 강남구 삼성동 테헤란로78길,1
서울특별시 강남구 삼성동 학동로,4
서울특별시 강남구 세곡동 헌릉로,2
서울특별시 강남구 수서동 광평로,4
서울특별시 강남구 수서동 광평로34길,1
서울특별시 강남구 수서동 광평로39길,1
서울특별시 강남구 수서동 광평로51길,2
서울특별시 강남구 수서동 밤고개로,2
서울특별시 강남구 수서동 밤고개로1길,3
서울특별시 강남구 수서동 분당수서로,2
서울특별시 강남구 신사동 가로수길,3
서울특별시 강남구 신사동 논현로,3
서울특별시 강남구 신사동 도산대로,2
서울특별시 강남구 신사동 압구정로,5
서울특별시 강남구 신사동 언주로,2
서울특별시 강남구 신사동 올림픽대로,1
서울특별시 강남구 압구정동 강남대로,2
서울특별시 강남구 압구정동 논현로,1
서울특별시 강남구 압구정동 논현로189길,1
서울특별시 강남구 압구정동 논현로190길,1
서울특별시 강남구 압구정동 압구정로,4
서울특별시 강남구 압구정동 언주로,3
서울특별시 강남구 압구정동 올림픽대로,1
서울특별시 강남구 역삼동 강남대로,6
서울특별시 강남구 역삼동 강남대로78길,1
서울특별시 강남구 역삼동 논현로85길,2
서울특별시 강남구 역삼동 논현로94길,1
서울특별시 강남구 역삼동 도곡로,3
서울특별시 강남구 역삼동 도곡로3길,1
서울특별시 강남구 역삼동 도곡로7길,2
서울특별시 강남구 역삼동 봉은사로,2
서울특별시 강남구 역삼동 봉은사로2길,2
서울특별시 강남구 역삼동 봉은사로44길,1
서울특별시 강남구 역삼동 서초대로,1
서울특별시 강남구 역삼동 선릉로,4
서울특별시 강남구 역삼동 선릉로93길,1
서울특별시 강남구 역삼동 언주로,2
서울특별시 강남구 역삼동 언주로70길,1
서울특별시 강남구 역삼동 역삼로,3
서울특별시 강남구 역삼동 테헤란로,6
서울특별시 강남구 역삼동 테헤란로51길,1
서울특별시 강남구 율현동 헌릉로757길,1
서울특별시 강남구 일원동 개포로,1
서울특별시 강남구 일원동 개포로124길,1
서울특별시 강남구 일원동 분당수서로,1
서울특별시 강남구 일원동 양재대로,2
서울특별시 강남구 일원동 양재대로33길,1
서울특별시 강남구 일원동 양재대로55길,2
서울특별시 강남구 일원동 일원로,3
서울특별시 강남구 일원동 일원로3길,1
서울특별시 강남구 자곡동 밤고개로,1
서울특별시 강남구 자곡동 자곡로,1
서울특별시 강남구 자곡동 자곡로3길,1
서울특별시 강남구 청담동 도산대로,4
서울특별시 강남구 청담동 도산대로68길,1
서울특별시 강남구 청담동 삼성로,1
서울특별시 강남구 청담동 삼성로133길,1
서울특별시 강남구 청담동 선릉로,2
서울특별시 강남구 청담동 선릉로132길,1
서울특별시 강남구 청담동 영동대로,4
서울특별시 강남구 청담동 올림픽대로,1
서울특별시 강남구 청담동 학동로,3
서울특별시 강남구 청담동 학동로97길,1
서울특별시 강동구 강일동 미사강변남로,1
서울특별시 강동구 강일동 미사대로,1
서울특별시 강동구 강일동 수도권제1순환고속도로,1
서울특별시 강동구 강일동 아리수로,3
서울특별시 강동구 강일동 아리수로93길,1
서울특별시 강동구 강일동 초광로,1
서울특별시 강동구 강일동 풍산로,1
서울특별시 강동구 고덕동 고덕로,3
서울특별시 강동구 고덕동 고덕로83길,1
서울특별시 강동구 고덕동 동남로,3
